"binomial","area"
"Oreoglanis suraswadii",4663.8
"Oryzias latipes",2684.7
"Oryzias mekongensis",252413.9
"Oryzias pectoralis",2882.2
"Oryzias songkhramensis",24586.2
"Osphronemus exodon",260240.9
"Osphronemus goramy",8329.2
"Osteobrama cunma",4642.9
"Osteochilus brachynotopteroides",12618.1
"Osteochilus lini",109588.5
"Osteochilus melanopleurus",85552.8999999999
"Osteochilus microcephalus",89907.2999999998
"Osteochilus salsburyi",87.2
"Osteochilus schlegelii",139526.9
"Osteochilus striatus",7493.2
"Osteochilus vittatus",305585.1
"Osteochilus waandersii",227173.6
"Oxyeleotris marmorata",178123.8
"Oxyeleotris urophthalmus",876
"Oxygaster anomalura",139011
"Oxygaster pointoni",244950
"Pangasianodon gigas",82014.4
"Pangasianodon hypophthalmus",373446.4
"Pangasius bocourti",194255.7
"Pangasius conchophilus",178747.7
"Pangasius djambal",1816.1
"Pangasius elongatus",180879.8
"Pangasius krempfi",224597.9
"Pangasius larnaudii",214935.1
"Pangasius macronema",419116.4
"Pangasius mekongensis",221377.5
"Pangasius nasutus",6809.9
"Pangasius pangasius",2396.5
"Pangasius sanitwongsei",283167.8
"Pangio anguillaris",7671.4
"Pangio longimanus",1807.7
"Pangio myersi",41569
"Pangio oblonga",528045
"Pangio pangia",5770
"Pangio piperata",174664.6
"Pao abei",185478.4
"Pao baileyi",45642.2
"Pao brevirostris",28975.7
"Pao cambodgiensis",177486
"Pao cochinchinensis",62881.4
"Pao leiurus",11122.7
"Pao ocellaris",54496.8
"Pao suvattii",38488.9
"Pao turgidus",44465.8
"Papuligobius ocellatus",240031.6
"Parachela maculicauda",190797.4
"Parachela oxygastroides",527923.8
"Parachela siamensis",174542.3
"Parachela williaminae",190359.3
"Paracrossochilus acerus",2054.5
"Paralaubuca barroni",322329.500000001
"Paralaubuca harmandi",149176.6
"Paralaubuca riveroi",245301.1
"Paralaubuca stigmabrachium",6932.7
"Paralaubuca typus",151050.6
"Parambassis apogonoides",60611.4
"Parambassis ranga",684.8
"Parambassis siamensis",181469.6
"Parambassis wolffii",62463.7
"Parasikukia maculata",41454.1
"Parazacco fasciatus",87.2
"Pareuchiloglanis poilanei",155.2
"Pellona ditchela",270.9
"Periophthalmodon septemradiatus",6999
"Pethia stoliczkana",3029.4
"Phalacronotus apogon",363483.3
"Phalacronotus bleekeri",170495.9
"Phalacronotus micronemus",556014.3
"Phenablennius heyligeri",2378
"Physoschistura pseudobrunneana",151804.1
"Piaractus brachypomus",1272.3
"Pinniwallago kanpurensis",6384.7
"Placocheilus cryptonemus",483.7
"Planiliza macrolepis",982.2
"Planiliza melinopterus",982.2
"Plectorhinchus gibbosus",2680.8
"Poecilia reticulata",2119.9
"Poeciliopsis gracilis",1872.9
"Polynemus aquilonaris",129228.9
"Polynemus melanochir",98680.1
"Polynemus paradiseus",2318.6
"Poropuntius angustus",51346.2
"Poropuntius bolovenensis",9817.1
"Poropuntius burtoni",30780.3
"Poropuntius carinatus",116385.7
"Poropuntius consternans",9817.1
"Poropuntius deauratus",6854.5
"Poropuntius kontumensis",16531.3
"Poropuntius laoensis",210596.6
"Poropuntius lobocheiloides",9817.1
"Poropuntius normani",152739.6
"Poropuntius solitus",9817.1
"Poropuntius speleops",4816.8
"Pristolepis fasciata",323070.699999999
"Probarbus jullieni",85228.2
"Probarbus labeamajor",66428.5
"Probarbus labeaminor",39925.1
"Psettodes erumei",937.5
"Pseudapocryptes elongatus",609944.400000001
"Pseudecheneis immaculata",10851.1
"Pseudecheneis sympelvica",17350.8
"Pseudobagarius filifer",47662.1
"Pseudobagarius inermis",185288.2
"Pseudobagarius nitidus",25652.6
"Pseudobagarius similis",12564
"Pseudobagarius subtilis",17805.5
"Pseudogastromyzon elongatus",2119.9
"Pseudogobiopsis oligactis",39446.6
"Pseudohemiculter dispar",231340.2
"Pseudohomaloptera leonardi",37248.1
"Pseudohomaloptera yunnanensis",238775.4
"Pseudolais micronemus",282820
"Pseudolais pleurotaenia",90765.1
"Pseudomystus bomboides",1807.7
"Pseudomystus siamensis",564751.4
"Pseudomystus sobrinus",155.2
"Pterocryptis cochinchinensis",384.4
"Pterocryptis inusitata",4006.9
"Pterois russelii",3632.3
"Pteronemacheilus meridionalis",12783.5
"Puntigrus partipentazona",11401.9
"Puntioplites bulu",57922.7
"Puntioplites falcifer",171780.4
"Puntioplites proctozystron",18581.8
"Puntioplites waandersi",165706.7
"Puntius brevis",271753.6
"Puntius spilopterus",15172.1
"Raiamas guttatus",363453.4
"Rasbora amplistriga",59089.3
"Rasbora argyrotaenia",96.3
"Rasbora atridorsalis",90463.7999999999
"Rasbora aurotaenia",135554
"Rasbora borapetensis",333348.900000001
"Rasbora daniconius",610139.800000001
"Rasbora dusonensis",1896.1
"Rasbora einthovenii",4896.7
"Rasbora everetti",96.3
"Rasbora lateristriata",22902
"Rasbora myersi",5671.3
"Rasbora paviana",207107
"Rasbora rasbora",1260
"Rasbora septentrionalis",1814.9
"Rasbora steineri",3869.9
"Rasbora sumatrana",19416.5
"Rasbora tornieri",497058.3
"Rasbora trilineata",160884.2
"Rasbora vaillantii",96.3
"Rasbosoma spilocerca",98362.5
"Redigobius balteatus",2680.8
"Redigobius bikolanus",5618.2
"Rhinogobius albimaculatus",1137
"Rhinogobius brunneus",151.2
"Rhinogobius chiengmaiensis",2115.6
"Rhinogobius giurinus",752
"Rhinogobius leavelli",87.2
"Rhinogobius lineatus",7776.6
"Rhinogobius maculicervix",664.8
"Rhinogobius mekongianus",52126.1
"Rhinogobius milleri",7488.8
"Rhinogobius taenigena",17912.2
"Rhodeus laoensis",8452.5
"Rhodeus ocellatus",1496.4
"Rhodeus rheinardti",384.4
"Scaphiodonichthys acanthopterus",66076.4000000001
"Scaphognathops bandanensis",91191.9
"Scaphognathops stejnegeri",74096.9
"Scaphognathops theunensis",6781.8
"Scatophagus argus",2680.8
"Schistura amplizona",9591.4
"Schistura antennata",87.2
"Schistura aramis",2119.9
"Schistura athos",16745.8
"Schistura atra",4006.9
"Schistura bairdi",20958.7
"Schistura bella",1333.8
"Schistura bolavenensis",8116.5
"Schistura breviceps",22307.8
"Schistura bucculenta",20634.3
"Schistura carbonaria",6760
"Schistura cataracta",7776.6
"Schistura clatrata",13023.6
"Schistura coruscans",1137
"Schistura crabro",4587.8
"Schistura dalatensis",2717.1
"Schistura daubentoni",9354.7
"Schistura defectiva",21357.5
"Schistura dorsizona",13882.9
"Schistura ephelis",3816.3
"Schistura fusinotata",8007.2
"Schistura geisleri",6776.9
"Schistura globiceps",8926.6
"Schistura hingi",384.4
"Schistura imitator",12824.3
"Schistura irregularis",6597.6
"Schistura isostigma",58777.8
"Schistura kaysonei",5685.5
"Schistura kengtungensis",128926.1
"Schistura khamtanhi",30547.9
"Schistura kloetzliae",6117.6
"Schistura kohchangensis",2812.4
"Schistura kongphengi",23334.6
"Schistura kontumensis",20027.1
"Schistura latidens",6672.5
"Schistura leukensis",1807.7
"Schistura macrocephalus",2440.9
"Schistura magnifluvis",37897
"Schistura melarancia",22326.3
"Schistura menanensis",15701.3
"Schistura namboensis",43049.1
"Schistura nicholsi",255814.2
"Schistura nomi",25618.1
"Schistura novemradiata",8926.6
"Schistura nudidorsum",22709.6
"Schistura obeini",5677.6
"Schistura personata",1137
"Schistura pertica",222.5
"Schistura poculi",41871.5
"Schistura porthos",58259.1
"Schistura procera",12358.5
"Schistura rikiki",843.8
"Schistura russa",8926.6
"Schistura schultzi",39630.6
"Schistura sertata",3545.7
"Schistura sexcauda",21101.7
"Schistura sigillata",3816.3
"Schistura sokolovi",5827.3
"Schistura sombooni",49223.9
"Schistura suber",1807.7
"Schistura tenura",1807.7
"Schistura tizardi",843.8
"Schistura tubulinaris",4006.9
"Schistura vinciguerrae",11931.1
"Schistura xhatensis",5631.7
"Schistura yersini",8031
"Scleropages formosus",51894.2
"Scomberomorus sinensis",53299.7
"Sectoria heterognathos",664.8
"Serpenticobitis cingulata",74623
"Serpenticobitis octozona",11311.9
"Serpenticobitis zonata",177249.4
"Setipinna melanochir",118313.7
"Sewellia breviventralis",3100.2
"Sewellia diardi",7291.3
"Sewellia elongata",6363.7
"Sewellia patella",3472.2
"Sewellia speciosa",20651.1
"Sikukia flavicaudata",27542.2
"Sikukia gudgeri",77444.3
"Sikukia stejnegeri",99658.9999999999
"Silonia silondia",30780.3
"Silurichthys schneideri",55.7
