"OBJECTID","Code","Name","Lat","Lon","Head","DesignQ","Ad_MRC","MeanQ_m3s","InstalledC","MeanAnnual","Cost_MioD","FSL","LSL","LiveStorag","GrossStora","ReservoirA","DamHeight","ReferenceY","ReferenceB","COD","Status","log_IC","status","country","incl","rem","mit","scen"
25,"L025","Nam Tha 1",20.249399985,100.892200051,65.5,289.5,8990,168,168,759.42,333.621,455,442.5,675.5,954.41,64,93.65,2007,333.621,2019,"C",2.22530928172586,"existing","L","2","0","0","S0"
28,"L028","Xekatam",15.1353811065,106.589060032,455,16,38,12.25,68,380,120.235,911,890.5,121,126,7.8,41.4,2006,120.235,2020,"E",1.83250891270624,"existing","L","2","0","0","S0"
30,"L030","Nam Kong 1",14.5528641293,106.729866692,186,44.5,1250,42,150,469,159.14,320,287,505,682.7,21.8,86.9,2007,159.14,2019,"E",2.17609125905568,"existing","L","2","0","0","S0"
34,"L034","Mekong at Don sahong",13.943856,105.956275,17,2400,553000,10310,260,2375,673.3,74.5,72,115,0,2.9,10.6,2007,673.3,2019,"C",2.41497334797082,"existing","L","2","0","0","S0"
35,"L035","Nam Ou 1",20.1266999859,102.303300049,16,1308,25979,614,180,829,247.11,305,300,89,157.5,10.712,65,2007,247.11,2019,"E",2.25527250510331,"existing","L","2","0","0","S0"
36,"L036","Nam Ou 2",20.3868999863,102.450600049,15,994,22568,533,120,413,145.43,320,316,25.4,73.7,15.66,55,2007,145.43,2016,"C",2.07918124604762,"existing","L","2","0","0","S0"
38,"L038","Nam Ou 4",21.1343999871,102.48810005,23,710,11799,295,132,337,105.64,400,395,1145,104,13.9,47,2007,105.64,2019,"E",2.12057393120585,"existing","L","2","0","0","S0"
39,"L039","Nam Ou 5",21.4257999873,102.34610005,49,547,10371,280,240,496,175.37,430,425,142,89.5,15.5,55,2007,175.37,2017,"C",2.38021124171161,"existing","L","2","0","0","S0"
40,"L040","Nam Ou 6",21.7791999876,102.195300051,60,349,5527,157,180,840,311.99,510,490,246,694.1,16.92,108,2007,311.99,2017,"C",2.25527250510331,"existing","L","2","0","0","S0"
41,"L041","Nam Ou 7",22.088299988,102.258300052,104,235,3477,103,210,725,419.74,630,600,1060,1469.2,46.7,147,2007,419.74,2018,"E",2.32221929473392,"existing","L","2","0","0","S0"
42,"L042","Nam Lik 1",18.6166999847,102.36694389,19.5,300,5050,224.5,64,255,96.1,195,191,6.8,175.7,14,36.5,2007,96.1,2018,"C",1.80617997398389,"existing","L","2","0","0","S0"
44,"L044","Nam Pha",20.8349999855,100.631400052,126,182.1,2837,76.5,180,577,257,550,515,2331,4177.89,106.7,139.1,2008,257,2016,"C",2.25527250510331,"existing","L","2","0","0","S0"
48,"L048","Nam Beng",19.9499999849,101.23030005,70,43.2,2108,32.3,36,120,59.6,435,430,0.3496,3.611,0.724,37.7,2008,59.6,2018,"C",1.55630250076729,"existing","L","2","0","0","S0"
54,"L054","Mekong at Xayabuly",19.246528,101.818906,29,5000,272000,3990,1260,6035.3,1405.7,275,268,212,726.02,49,53,2008,1405.7,2019,"C",3.10037054511756,"existing","L","2","0","0","S0"
67,"L067","Nam Khan 2",19.6849658284,102.320576576,138.7,109.5,5221,64.4,130,578.6,218.5,470,450,528,1217,30,155,2007,218.5,2015,"E",2.11394335230684,"existing","L","2","0","0","S0"
68,"L068","Nam Khan 3 (Down)",19.7639668657,102.773417406,39,176.8,3392,37,60,222.38,97.5,560,532,48,3249.5,0,90,2007,97.5,2016,"E",1.77815125038364,"existing","L","2","0","0","S0"
75,"L075","Nam Poun",18.4638999837,101.469400047,70,148.8,1700,87.5,50,342,138.3,300,280,250,473.4,32.25,76,2008,138.3,2017,"C",1.69897000433602,"existing","L","2","0","0","S0"
99,"L099","Nam Kong 2",14.4927100743,106.85323525,97.9,76.2,860,45,66,309.5,124.5,460,437,30.58,166.2,4.2,72.1,2007,124.5,2018,"C",1.81954393554187,"existing","L","2","0","0","S0"
102,"C002","Lower Se San 2",13.5533,106.2,28.5,2118,49200,1306,400,1953.9,790.26,75,74,333.2,1792.5,334.38,45,2009,790.26,2017,"C",2.60205999132796,"existing","C","2","0","0","S0"
118,"V002","Plei Krong",14.4083333333,107.861111111,31,367.6,3216,128,100,417.2,178.765,570,537,948,1048.7,53.28,71,2003,178.765,2009,"E",2,"existing","V","2","0","0","S0"
119,"V003","Yali",14.2227777778,107.793055556,190,424,7455,262,720,3658.56,456.119,515,490,779.02,1037.1,64.5,71,1992,456.119,2002,"E",2.85733249643127,"existing","V","2","0","0","S0"
120,"V004","Se San 3",14.2166666667,107.7,60.5,486,7788,274,260,1224.6,236.323,304.5,303.2,3.8,92,3.4,69.5,2003,236.323,2006,"E",2.41497334797082,"existing","V","2","0","0","S0"
121,"V005","Se San 3A",14.1061111111,107.655,21.5,500,8084,283,96,479.3,121.667,239,238.5,4,80.6,8.8,35,2005,121.667,2007,"E",1.98227123303957,"existing","V","2","0","0","S0"
122,"V006","Se San 4",13.9666666667,107.5,56,719,9326,328.9,360,1420.1,349.76,215,210,264.16,893.3,58.4,74.13,2004,349.76,2010,"E",2.55630250076729,"existing","V","2","0","0","S0"
123,"V007","Se San 4A",13.9333333333,107.466388889,63,594.2,9368,330,63,296.9,79.13,155.2,150,7.5,13.1,1.75,31.5,2011,79.13,2011,"E",1.79934054945358,"existing","V","2","0","0","S0"
125,"V009","Buon Tua Srah",12.2852777778,108.047777778,46.5,204.9,2930,102,86,358.6,135.958,487.5,467.5,522.6,787,37.1,83,2004,135.958,2009,"E",1.93449845124357,"existing","V","2","0","0","S0"
126,"V010","Buon Kuop",12.5244444444,107.931388889,98.5,316,7980,217,280,1458.6,299.958,412,409,25.63,73.78,5.6,34,2003,299.958,2009,"E",2.44715803134222,"existing","V","2","0","0","S0"
127,"V011","Dray Hlinh 2",12.6769444444,107.913333333,18.5,101.02,8880,241,16,85.04,13.49,302,299,1.5,2.9,0,7,2006,13.49,2007,"E",1.20411998265592,"existing","V","2","0","0","S0"
128,"V012","Sre Pok 3",12.7541666667,107.861388889,60,412.8,9410,250.6,220,1060.2,266.89,272,267,62.85,218.99,17.68,52.5,2005,266.89,2010,"E",2.34242268082221,"existing","V","2","0","0","S0"
129,"V013","Sre Pok 4",12.8730555556,107.780555556,17.07,468.9,9568,273,80,329.26,92.45,207,204,8.44,29.32,3.75,25,2008,92.45,2010,"E",1.90308998699194,"existing","V","2","0","0","S0"
